Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Net migration,SM.POP.NETM,Sudan,SDN,-26668
Net migration,SM.POP.NETM,Suriname,SUR,-988
Net migration,SM.POP.NETM,Sweden,SWE,58955
Net migration,SM.POP.NETM,Switzerland,CHE,96424
Net migration,SM.POP.NETM,Syrian Arab Republic,SYR,735142
Net migration,SM.POP.NETM,Tajikistan,TJK,-17001
Net migration,SM.POP.NETM,Tanzania,TZA,-37557
Net migration,SM.POP.NETM,Thailand,THA,21683
Net migration,SM.POP.NETM,Timor-Leste,TLS,-5519
Net migration,SM.POP.NETM,Togo,TGO,-1997
Net migration,SM.POP.NETM,Tonga,TON,-2218
Net migration,SM.POP.NETM,Trinidad and Tobago,TTO,4247
Net migration,SM.POP.NETM,Tunisia,TUN,-14001
Net migration,SM.POP.NETM,Turkiye,TUR,-301544
Net migration,SM.POP.NETM,Turkmenistan,TKM,14141
Net migration,SM.POP.NETM,Turks and Caicos Islands,TCA,193
Net migration,SM.POP.NETM,Tuvalu,TUV,-320
Net migration,SM.POP.NETM,Uganda,UGA,-118843
Net migration,SM.POP.NETM,Ukraine,UKR,-5699445
Net migration,SM.POP.NETM,United Arab Emirates,ARE,322773
Net migration,SM.POP.NETM,United Kingdom,GBR,487029
Net migration,SM.POP.NETM,United States,USA,1319009
Net migration,SM.POP.NETM,Uruguay,URY,-1501
Net migration,SM.POP.NETM,Uzbekistan,UZB,-5007
Net migration,SM.POP.NETM,Vanuatu,VUT,0
"Net migration,SM.POP.NETM,""Venezuela, RB"",VEN,-141107"
Net migration,SM.POP.NETM,Viet Nam,VNM,-78977
Net migration,SM.POP.NETM,Virgin Islands (U.S.),VIR,-444
Net migration,SM.POP.NETM,West Bank and Gaza,PSE,-5006
"Net migration,SM.POP.NETM,""Yemen, Rep."",YEM,-10448"
Net migration,SM.POP.NETM,Zambia,ZMB,-8566
Net migration,SM.POP.NETM,Zimbabwe,ZWE,-102828
