Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
"GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,""Hong Kong SAR, China"",HKG,64036.6454154727"
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Hungary,HUN,40610.9711368238
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Iceland,ISL,65380.3173049324
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,India,IND,8594.39190499879
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Indonesia,IDN,13334.2653947637
"GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,""Iran, Islamic Rep."",IRN,16377.9610645368"
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Iraq,IRQ,13433.3977166987
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Ireland,IRL,123219.076059494
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Isle of Man,IMN,..
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Israel,ISR,48098.187235579
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Italy,ITA,52333.3274270604
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Jamaica,JAM,11096.6377085321
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Japan,JPN,44972.3438362201
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Jordan,JOR,9266.57538251337
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Kazakhstan,KAZ,33506.2614893237
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Kenya,KEN,5491.69378280246
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Kiribati,KIR,3107.77604642687
"GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,""Korea, Dem. People's Rep."",PRK,.."
"GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,""Korea, Rep."",KOR,53228.6035655365"
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Kosovo,XKX,13022.4627441502
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Kuwait,KWT,51379.8833194119
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Kyrgyz Republic,KGZ,6139.77788825006
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Lao PDR,LAO,8183.03286472653
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Latvia,LVA,37718.7097958367
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Lebanon,LBN,11474.7505845558
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Lesotho,LSO,2577.54544127769
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Liberia,LBR,1578.99837069175
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Libya,LBY,11450.0598552928
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Liechtenstein,LIE,..
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Lithuania,LTU,46651.2145810247
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Luxembourg,LUX,132570.826463419
"GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,""Macao SAR, China"",MAC,59921.441691873"
GDP per capita, PPP (constant 2021 international $),NY.GDP.PCAP.PP.KD,Madagascar,MDG,1602.71368352337
