Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Georgia,GEO,30.346
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Germany,DEU,6.04
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Ghana,GHA,5.505
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Gibraltar,GIB,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Greece,GRC,31.29
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Greenland,GRL,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Grenada,GRD,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Guam,GUM,13.356
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Guatemala,GTM,6.274
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Guinea,GIN,7.107
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Guinea-Bissau,GNB,2.826
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Guyana,GUY,25.329
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Haiti,HTI,36.521
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Honduras,HND,13.607
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,""Hong Kong SAR, China"",HKG,11.03"
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Hungary,HUN,10.558
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Iceland,ISL,8.421
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,India,IND,17.769
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Indonesia,IDN,14.055
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,""Iran, Islamic Rep."",IRN,22.7"
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Iraq,IRQ,32.069
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Ireland,IRL,9.315
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Isle of Man,IMN,..
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Israel,ISR,6.719
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Italy,ITA,23.704
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Jamaica,JAM,13.117
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Japan,JPN,4.406
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Jordan,JOR,42.028
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Kazakhstan,KAZ,3.815
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Kenya,KEN,12.187
Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,Kiribati,KIR,..
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate),SL.UEM.1524.ZS,""Korea, Dem. People's Rep."",PRK,6.585"
